 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
MYX,MYCELX TECHNOLOGIES CORP COM SHS USD0.025 (DI),9843837.8818699,4155108.90844539,-3918487.63081416,Industrial Machinery
HEPA,"Hepion Pharmaceuticals, Inc.",0,-77461,-42200049,Pharmaceuticals: Major
MTG,MGIC Investment Corporation,1172785000,,865349000,Multi-Line Insurance
EFSG,"Enterprise Financial Services Group, Inc.",19163991,,2992467,Regional Banks
GPK,Graphic Packaging Holding Company,9440000000,1825000000,522000000,Containers/Packaging
IFHI,"Integrated Financial Holdings, Inc.",44873000,,-199000,Regional Banks
ESP,Espey Mfg. & Electronics Corp.,35592323,8050538,3677131,Electronic Components
FKWL,Franklin Wireless Corp.,45948516,6968772,-2863021,Telecommunications Equipment
SDGR,"Schrodinger, Inc.",180955000,100509000,-149186000,Packaged Software
DCO,Ducommun Incorporated,712537000,146997000,28789000,Aerospace & Defense
PRVA,"Privia Health Group, Inc.",1356660000,130211000.00000001,-8585000,Life/Health Insurance
DFLI,Dragonfly Energy Holdings Corp,86251000,24004000,-39571000,Electrical Products
CPNG,"Coupang, Inc.",20582615000.000202,4709873000.000099,-92042000.0000007,Internet Retail
DSKE,"Daseke, Inc.",1773300000,258000000,50200000,Trucking
LAKE,"Lakeland Industries, Inc.",112846000,44344000,1873000,Apparel/Footwear
ASPU,Aspen Group Inc.,66324788,35527828,-8347605,Other Consumer Specialties
NL,"NL Industries, Inc.",166562000,48313000,33844000,Metal Fabrication
KZR,"Kezar Life Sciences, Inc.",0,-1023000,-68239000,Biotechnology
PGTI,"PGT Innovations, Inc.",1491954000,550771000,96882000,Building Products
DXC,DXC Technology Company,14430000000,1589000000,-568000000,Data Processing Services
HUBB,Hubbell Inc,4947900000,1480300000,544500000,Electrical Products
GS,"Goldman Sachs Group, Inc. (The)",67261000000,,11261000000,Investment Banks/Brokers
MCPH,Midland Capital Holdings Corp.,,,,Savings Banks
FBIZ,"First Business Financial Services, Inc.",147791000,,39752000,Regional Banks
SMPL,The Simply Good Foods Company,1242672000,436004000,133574999.99999999,Food: Major Diversified
SGEN,Seagen Inc.,1962412000,1552354000,-610308000,Pharmaceuticals: Major
PAYC,"Paycom Software, Inc.",1375218000,1026358999.9999998,281389000,Packaged Software
ENVB,"Enveric Biosciences, Inc.",0,-435201,-18504347,Pharmaceuticals: Other
FC,Franklin Covey Company,280521000,204877000,17781000,Miscellaneous Commercial Services
EPM,"Evolution Petroleum Corporation, Inc.",128514000.00000001,54696000,34657000,Oil & Gas Production
NMRA,"Neumora Therapeutics, Inc.",0,-2697000,-130904000,Pharmaceuticals: Major
WTS,"Watts Water Technologies, Inc.",1979500000,874300000,251500000,Industrial Machinery
KTCC,Key Tronic Corporation,588135000,47551000,5157000,Computer Peripherals
MAN,ManpowerGroup,19827500000,3572400000,373800000,Personnel Services
SEIC,SEI Investments Company,1988509000,1674834000,475467000,Investment Managers
RSCF,"Reflect Scientific, Inc.",2041297,583112,89396,Medical Specialties
ACM,AECOM,14378461000,986364999.999999,55332000,Engineering & Construction
WU,Western Union Company (The),4469900000,1659700000,910600000,Finance/Rental/Leasing
HLLY,Holley Inc.,688415000,238975000,73774000,Auto Parts: OEM
USAP,"Universal Stainless & Alloy Products, Inc.",202114000,13587000,-8073000,Steel
ITGR,Integer Holdings Corporation,1378169000,326262000,65349999.99999999,Medical Specialties
TISI,"Team, Inc.",840208000,180158000,70079000,Miscellaneous Commercial Services
HNNA,"Hennessy Advisors, Inc.",24020000,19545000,4771000,Investment Managers
MCO,Moody's Corporation,5468000000,3524000000,1374000000,Financial Publishing/Services
CZWI,"Citizens Community Bancorp, Inc.",80000000,,17761000,Regional Banks
ALSN,"Allison Transmission Holdings, Inc.",2769000000,1251000000,531000000,Auto Parts: OEM
IR,Ingersoll Rand Inc.,5916300000,1978000000,607500000,Industrial Machinery
KOPN,Kopin Corporation,47401190,14842442,-19325917,Semiconductors
PRKR,"Parkervision, Inc.",925000,604000,-9813000,Semiconductors
GRWG,GrowGeneration Corp.,278166000,53131000,-163747000,Wholesale Distributors
LHX,"L3Harris Technologies, Inc.",17062000000,4927000000,1062000000,Aerospace & Defense
ST,Sensata Technologies Holding plc,4075445000.04088,1203067000.01206,310685000.003117,Electronic Equipment/Instruments
ECPG,Encore Capital Group Inc,1367699000,952459000,194564000,Finance/Rental/Leasing
WEST,Westrock Coffee Company,867872000,174687000,-55185000,Food: Specialty/Candy
OSK,Oshkosh Corporation (Holding Company),8282000000,1157600000,173900000,Motor Vehicles
CNRD,"Conrad Industries, Inc.",193856000,-15835000,-17429000,Oilfield Services/Equipment
KALU,Kaiser Aluminum Corporation,3427900000,150400000,-29600000,Aluminum
WRBY,Warby Parker Inc.,598112000,329883000,-110393000,Specialty Stores
IAC,IAC Inc.,5235280000,2898406000,-1170170000,Internet Software/Services
HRL,Hormel Foods Corporation,12110010000,2003795000,793573000,Food: Meat/Fish/Dairy
SKX,"Skechers U.S.A., Inc.",7444550000,3361641000,373028000,Apparel/Footwear
MLI,"Mueller Industries, Inc.",3982455000,1063094000,658316000,Metal Fabrication
WHLM,"Wilhelmina International, Inc.",17780000,17587000,3529000,Miscellaneous Commercial Services
NI,NiSource Inc,5850600000,2919300000,804100000,Gas Distributors
PNM,"PNM Resources, Inc. (Holding Co.)",2249555000,714730000,170058000,Electric Utilities
WFCF,"Where Food Comes From, Inc.",24845000,10468000,1994000,Miscellaneous Commercial Services
SSTK,"Shutterstock, Inc.",827826000,508120000,76103000,Internet Software/Services
ABG,Asbury Automotive Group Inc,15435700000,3033400000,997300000,Specialty Stores
NTGR,"NETGEAR, Inc.",932690000,250764000,-68987000,Information Technology Services
POWI,"Power Integrations, Inc.",651138000,366666000,170851000,Semiconductors
BURCA,"Burnham Holdings, Inc.",240547000,45676000,5065000,Industrial Machinery
PCG,Pacific Gas & Electric Co.,21680000000,2682000000,1814000000,Electric Utilities
CSHX,Cashmere Valley Bank,77910000,,26000000,Regional Banks
ADSK,"Autodesk, Inc.",4945000000,4428000000,823000000,Packaged Software
HTLD,"Heartland Express, Inc.",967996000,149867000,133584000,Trucking
CSWC,Capital Southwest Corporation,102401000,99651000,33093000.00000001,Investment Managers
AL,Air Lease Corporation,2251402000,1285447000,-97024000,Finance/Rental/Leasing
ELMA,"Elmer Bancorp, Inc.",14604966,,2604071,Major Banks
KRYS,"Krystal Biotech, Inc.",0,-4055000,-139975000,Biotechnology
PASG,"Passage Bio, Inc.",0,-3679000,-136125000,Biotechnology
ISBA,Isabella Bank Corp.,79464000,,22238000,Regional Banks
NWYF,"Northway Financial, Inc.",40871000,,2675000,Regional Banks
ANIK,Anika Therapeutics Inc.,156236000,93576000,-14859000,Medical Specialties
BCOW,"1895 Bancorp of Wisconsin, Inc.",18889000,,-148000,Savings Banks
TSRI,"TSR, Inc.",101433065,17485758,1742065,Personnel Services
TKR,Timken Company (The),4496700000,1288100000,407400000,Industrial Machinery
SNOA,"Sonoma Pharmaceuticals, Inc.",13272000,4477000,-5151000,Pharmaceuticals: Major
ZUMZ,Zumiez Inc.,958380000,305429000,21034000,Apparel/Footwear Retail
GNSS,Genasys Inc.,46663000,21762000,-18396000,Computer Communications
GENK,"GEN Restaurant Group, Inc.",163729000,27569000,10281000,Restaurants
ENTG,"Entegris, Inc.",3282033000,1252460000,208920000,Industrial Machinery
AMTX,"Aemetis, Inc",256512999.99999997,-5535000.00000001,-107758000,Chemicals: Specialty
CBT,Cabot Corporation,3931000000,839000000,437000000,Chemicals: Specialty
WMG,Warner Music Group Corp.,6037000000,2528000000,424000000,Commercial Printing/Forms
RGLG,"UHF Logistics Group, Inc.",,,,Wholesale Distributors
AMG,"Affiliated Managers Group, Inc.",2373400000,2306000000,1145900000,Investment Managers
ASTI,"Ascent Solar Technologies, Inc",1222786,-864318,-19754705,Semiconductors
AEVA,"Aeva Technologies, Inc.",4192000,-4255000,-147305000,Semiconductors
MDGL,"Madrigal Pharmaceuticals, Inc.",0,-467000,-295350000,Pharmaceuticals: Major
EXLS,"ExlService Holdings, Inc.",1412044000,460651000,142968000,Data Processing Services
PINS,"Pinterest, Inc.",2802574000,2127077000.0000005,-96047000,Internet Software/Services
MIRM,"Mirum Pharmaceuticals, Inc.",77062000,64349999.99999999,-135665000,Pharmaceuticals: Major
APH,Amphenol Corporation,12623000000,4028200000,1902300000,Electronic Components
INBK,First Internet Bancorp,178802000,,35541000,Regional Banks
TLNE,Talen Energy Corp,874000000,52000000,-866000000,Alternative Power Generation
NLTX,"Neoleukin Therapeutics, Inc.",0,-2612000.00000419,-57557000.0000924,Biotechnology
CMS,CMS Energy Corporation,8596000000,1636000000,837000000,Electric Utilities
GDYN,"Grid Dynamics Holdings, Inc.",310482000,120590000,-29214000,Information Technology Services
MYE,"Myers Industries, Inc.",899547000,284066000,60267000,Miscellaneous Manufacturing
DHX,"DHI Group, Inc.",149680000,114586000,4176000,Personnel Services
ELMD,"Electromed, Inc.",48067000,36519000,3166000,Medical Specialties
UTZ,Utz Brands Inc,1408401000,411357000,-392000,Food: Specialty/Candy
HHH,Howard Hughes Holdings Inc.,1604773000,429541000,184533000,Real Estate Development
LASR,"nLIGHT, Inc.",242058000,50821000,-54579000,Semiconductors
XTNT,"Xtant Medical Holdings, Inc.",57969000,32137000,-8485000,Medical Specialties
GTIM,Good Times Restaurants Inc.,138200000,15723000,-2641000,Restaurants
NXTP,"NextPlay Technologies, Inc.",,,,Advertising/Marketing Services
PRMW,PRIMO WATER CORPORATION CANADA,2127331797.9294364,1242152023.5844607,28427168.6238595,Beverages: Non-Alcoholic
CHMG,Chemung Financial Corp,102982000,,28783000,Regional Banks
FOUR,"Shift4 Payments, Inc.",1993600000,373700000,75100000,Miscellaneous Commercial Services
BCC,"Boise Cascade, L.L.C.",8387307000.000001,1813174000,857658000,Wholesale Distributors
PUBM,"PubMatic, Inc.",256380000,174868000,28705000,Internet Software/Services
PLL,Piedmont Lithium Inc.,0,-73697.00000025,-12974674.0000434,Chemicals: Agricultural
TFX,Teleflex Incorporated,2791041000,1558755000,363139000,Medical Specialties
WHF,"WhiteHorse Finance, Inc.",73569000,50227000,15683000,Investment Managers
NECB,"NorthEast Community Bancorp, Inc.",74537000,,24843000,Major Banks
RVTY,"Revvity, Inc.",3311822000,1760730000,569179000,Medical Specialties
PHIG,PHI GROUP INC,,,,Airlines
LEU,Centrus Energy Corp.,293800000,108900000,50700000,Other Metals/Minerals
LINC,Lincoln Educational Services Corporation,348287000,199541000,12634000,Miscellaneous Commercial Services
DHIL,"Diamond Hill Investment Group, Inc.",161011967,156339374,40434107,Investment Managers
VVV,Valvoline Inc.,1443500000,544500000,-151900000,Other Consumer Services
GLAD,Gladstone Capital Corporation,99098000,78518000,42668000,Investment Managers
THS,"Treehouse Foods, Inc.",3454000000,484000000,-17800000,Food: Specialty/Candy
BKCC,BlackRock Capital Investment Corporation,59132367,46818087,3486976,Investment Managers
BBAI,"BigBear.ai, Inc.",155011000,42993000,-121674000,Packaged Software
NABL,"N-able, Inc.",371769000,307306000,16707000,Packaged Software
EIG,Employers Holdings Inc,713500000,,48400000,Property/Casualty Insurance
STRA,"Strategic Education, Inc.",1065480000,453809000,46670000,Other Consumer Services
CRWD,"CrowdStrike Holdings, Inc.",2241236000,1637347000,-183245000,Packaged Software
RUSHA,"Rush Enterprises, Inc.",7101670000,1431494000,391382000,Specialty Stores
EDUC,Educational Development Corporation,87829000,56069800,-2504900,Publishing: Books/Magazines
TG,Tredegar Corporation,938564000,121368000,28455000,Aluminum
DOX,Amdocs Limited,4887550000,1667310000,542962000,Information Technology Services
VGR,Vector Group Ltd.,1441009000,442351000,153754000,Tobacco
SIX,Six Flags Entertainment Corporation New,1358236000,541406000,108928000,Movies/Entertainment
GTBP,"GT Biopharma, Inc.",0,0,-20884000,Pharmaceuticals: Major
VTYX,"Ventyx Biosciences, Inc.",0,-470000,-108426000,Biotechnology
LNC,Lincoln National Corporation,18710000000,,-2227000000,Life/Health Insurance
SENEA,Seneca Foods Corp.,1509352000,104319000,9201000,Food: Specialty/Candy
COSO,"CoastalSouth Bancshares, Inc.",76381000,,18190000,Regional Banks
PYPL,"PayPal Holdings, Inc.",27056000000,12798000000,2419000000,Miscellaneous Commercial Services
BHF,"Brighthouse Financial, Inc.",8473000000,,5000000,Life/Health Insurance
SYY,Sysco Corporation,76324675000,13849997000,1770124000,Food Distributors
NSYS,Nortech Systems Incorporated,134122999.99999999,20480000,2010000,Medical Specialties
COLM,Columbia Sportswear Company,3464298000,1699124000,311440000,Apparel/Footwear
GWRS,"Global Water Resources, Inc.",44728000,23949000,5506000,Water Utilities
GGG,Graco Inc.,2143521000.0000005,1057439000.0000002,460645000,Industrial Machinery
DUK,Duke Energy Corporation (Holding Company),28768000000,7890000000,2550000000,Electric Utilities
WHR,Whirlpool Corporation,19724000000,3025000000,-1519000000,Electronics/Appliances
HLT,Hilton Worldwide Holdings Inc.,8773000000,2536000000,1255000000,Hotels/Resorts/Cruise lines
BMI,"Badger Meter, Inc.",565568000,219970000,66495999.99999999,Industrial Machinery
CHUY,"Chuy's Holdings, Inc.",422215000,62487000,20855000,Restaurants
GWW,"W.W. Grainger, Inc.",15228000000,5788000000,1547000000,Wholesale Distributors
XCRT,XCELERATE INC.,0,0,-844609,Medical/Nursing Services
DFIN,"Donnelley Financial Solutions, Inc.",833600000,417100000,102500000,Packaged Software
GH,"Guardant Health, Inc.",449538000,291666000,-654588000,Medical/Nursing Services
BKSC,Bank of South Carolina Corp.,21263345,,6655140,Regional Banks
TGEN,Tecogen Inc,25002614,11066811,-2447927,Electrical Products
ORPB,Oregon Pacific Bancorp,30421396,,7143900,Regional Banks
CVLT,"Commvault Systems, Inc.",784590000,639918000,-35774000,Packaged Software
BCSF,"Bain Capital Specialty Finance, Inc.",237359000,183118000,105480000,Financial Conglomerates
AIRI,Air Industries Group,53238000,6907000,-1076000,Aerospace & Defense
PBNC,PB Financial Corporation,36741632,,14254101,Regional Banks
OXBC,Oxford Bank Corporation,35357000,,8820000,Regional Banks
ONEW,OneWater Marine Inc.,1936310000,511228000,-38592000,Specialty Stores
AGCO,AGCO Corporation,12651400000,2955300000,889600000,Trucks/Construction/Farm Machinery
BIIB,Biogen Inc.,9433400000,6636400000,3046900000,Pharmaceuticals: Major
PATI,"Patriot Transportation Holding, Inc.",94785000,15042000,2673000,Trucking
FCX,"Freeport-McMoRan, Inc.",23334000000,8093000000,3461000000,Other Metals/Minerals
TRVI,"Trevi Therapeutics, Inc.",0,-43000,-29152000,Biotechnology
NCMI,"National CineMedia, Inc.",249200000,99800000,-28700000,Advertising/Marketing Services
AMSWA,"American Software, Inc.",123659000,74185000,10421000,Packaged Software
KODK,Eastman Kodak Company,1205000000,170000000,26000000,Industrial Machinery
K,Kellanova,15315000000,4569000000,960000000,Food: Specialty/Candy
NEN,New England Realty Associates Limited Partnership,68293726,30204286,3723273,Real Estate Development
ARRY,"Array Technologies, Inc.",1637546000,128137000,4432000,Semiconductors
SAFT,"Safety Insurance Group, Inc.",795241000,,46356000,Property/Casualty Insurance
SAGE,"Sage Therapeutics, Inc.",7686000,5751000,-532784000,Pharmaceuticals: Major
CLW,Clearwater Paper Corporation,2080100000,256700000,46000000,Pulp & Paper
ANEB,"Anebulo Pharmaceuticals, Inc.",0,0,-11732338,Pharmaceuticals: Major
RMBI,"Richmond Mutual Bancorporation, Inc.",56694707,,12965439,Major Banks
CXAI,CXApp Inc.,,,,Packaged Software
TDG,Transdigm Group Inc.,6585000000,3751000000,1260000000,Aerospace & Defense
ASGN,ASGN Incorporated,4581100000,1279200000,268100000.00000003,Information Technology Services
AZTA,"Azenta, Inc.",665072000,233256000,-14257000,Medical/Nursing Services
NMIH,NMI Holdings Inc,523345000,,292902000,Property/Casualty Insurance
HBIA,Hills Bancorporation,158867000,,47753000,Regional Banks
WEX,WEX Inc.,2350511000,1441959000,201438000,Miscellaneous Commercial Services
HQY,"HealthEquity, Inc.",861748000,395505000,-26143000,Investment Managers
VCTR,"Victory Capital Holdings, Inc. Class A Common Stock",857700000,653394000,275511000,Investment Managers
ATOM,Atomera Incorporated,382000,-1205000,-17441000,Miscellaneous Commercial Services
GLW,Corning Incorporated,14137000000,4636000000,1316000000,Electronic Components
HONE,"HarborOne Bancorp, Inc.",219291000,,45589000,Regional Banks
NNVC,"NanoViricides, Inc.",0,-747529,-8588573,Pharmaceuticals: Major
PIAC,Princeton Capital Corporation,5922940,5058813,6646925,Investment Managers
SGRP,"SPAR Group, Inc.",261267999.99999997,48979000,-732000,Advertising/Marketing Services
TPVG,TriplePoint Venture Growth BDC Corp.,73424000,48762000,-20070000,Investment Managers
EW,Edwards Lifesciences Corporation,5382400000,4215200000,1521900000,Medical Specialties
OCN,Ocwen Financial Corporation NEW,877200000,797500000,25700000,Finance/Rental/Leasing
FIP,FTAI Infrastructure Inc.,261966000,-29904000,-153584000,Other Consumer Services
WRAP,"Wrap Technologies, Inc.",8049000,3734000,-17617000,Medical Specialties
LABP,"Landos Biopharma, Inc.",0,-577000,-39276000,Biotechnology
GD,General Dynamics Corporation,39407000000,6622000000,3390000000,Aerospace & Defense
CPSH,CPS Technologies Corp.,26586926,7301080,2131400,Metal Fabrication
SWK,"Stanley Black & Decker, Inc.",16947400000.000002,4103399999.999999,-133699999.99999999,Tools & Hardware
IBM,International Business Machines Corporation,60530000000,31302000000,1640000000,Information Technology Services
ADNT,Adient plc,15395000000,975000000,205000000,Auto Parts: OEM
CGBD,"Carlyle Secured Lending, Inc.",208221000,156368000,85637000,Investment Managers
UBFO,United Security Bancshares,53955000,,15686000,Regional Banks
CECO,CECO Environmental Corp.,422627000,121416000,17417000,Industrial Machinery
SLDP,"Solid Power, Inc.",11789000,2197000,-9555000,Electrical Products
CHH,"Choice Hotels International, Inc.",1379349000,648427000,330271000,Hotels/Resorts/Cruise lines
BDL,"Flanigan's Enterprises, Inc.",158132000,30510000,6312000,Restaurants
TDY,Teledyne Technologies Incorporated,5474300000,2139500000,788600000,Aerospace & Defense
SYPR,"Sypris Solutions, Inc.",110121000,14853000,-2494000,Auto Parts: OEM
OPXS,"Optex Systems Holdings, Inc.",22383000,4897000,1283000,Electronic Components
T,AT&T Inc.,120741000000,51872000000,-8524000000,Wireless Telecommunications
YOU,"Clear Secure, Inc.",437434000,257588000.00000003,-65572999.99999999,Packaged Software
KD,"Kyndryl Holdings, Inc.",17026000000,2528000000,-1374000000,Data Processing Services
MXCT,"MaxCyte, Inc.",44261500,36635500,-23570800,Biotechnology
AWR,American States Water Company,491528000,235645000,78199000,Water Utilities
NNI,"Nelnet, Inc.",1762242000,1519747000,399564000,Finance/Rental/Leasing
AMKR,"Amkor Technology, Inc.",7091585000,1329987000,765823000,Semiconductors
ASTE,"Astec Industries, Inc.",1274500000,264200000,-100000,Trucks/Construction/Farm Machinery
ALU,ALTIUM LIMITED,260683915.61778176,128037955.8048246,65692275.44726499,Packaged Software
OIL,PERMEX PETROLEUM CORPORATION,811024.00053641,-102726.50003208,-2506228.21126557,Integrated Oil
NWPP,"New Peoples Bankshares, Inc.",40454000,,8082000,Regional Banks
PPBN,Pinnacle Bankshares Corp.,38811000,,8242000,Major Banks
BJ,"BJ's Wholesale Club Holdings, Inc.",19315165000,3422288000,513177000,Specialty Stores
NWPX,Northwest Pipe Company,456842000,85032000,31149000,Construction Materials
INGN,"Inogen, Inc",377241000,163949000,-83772000,Medical Specialties
RDGL,Vivos Inc.,36499,-267520,-2470161,Medical Specialties
THG,Hanover Insurance Group Inc,5468600000,,116000000,Property/Casualty Insurance
USLM,"United States Lime & Minerals, Inc.",236150000,70064000,45429000,Construction Materials
CSX,CSX Corporation,14853000000,5928000000,4166000000,Railroads
BMRN,BioMarin Pharmaceutical Inc.,2047498000,1501036000,141561000,Biotechnology
CARS,Cars.com Inc.,653876000,355508000,17206000,Internet Software/Services
TROX,Tronox Holdings plc,3450000000,777000000,497000000,Chemicals: Specialty
BEPC,Brookfield Renewable Corporation,3628305508.8155823,1368537678.6824217,1443447109.515568,Financial Conglomerates
NEE,"NextEra Energy, Inc.",26596000000,11276000000,4147000000,Electric Utilities
HEAR,Turtle Beach Corporation,240166000,47949000,-59546000,Electronics/Appliances
GOOG,Alphabet Inc.,280875000000,154672000000,59972000000,Internet Software/Services
WEN,Wendy's Company (The),2095505000,584949000,177370000,Restaurants
ATRO,Astronics Corporation,534894000,113778000,-35747000,Aerospace & Defense
PKOH,Park-Ohio Holdings Corp.,1492900000,210500000,-14200000,Metal Fabrication
EMKR,EMCORE Corporation,124126000,29718000,-24333000,Semiconductors
CCNE,CNB Financial Corporation,248504000,,62959000,Regional Banks
AVGO,Broadcom Inc.,35819000000,23296000000,14082000000,Semiconductors
SIBN,"SI-BONE, Inc.",106409000,90704000,-61256000,Medical Specialties
GLP,Global Partners LP,18877886000,613568999.999998,355069000,Wholesale Distributors
ATEN,"A10 Networks, Inc.",280338000,223506000,46908000,Information Technology Services
PCYO,Pure Cycle Corporation,14586000,7542000,4699000,Water Utilities
UNP,Union Pacific Corporation,24875000000,11158000000,6998000000,Railroads
OTIS,Otis Worldwide Corporation,13685000000,3939000000,1253000000,Building Products
PINC,"Premier, Inc.",1336095000,848187000,175026000,Hospital/Nursing Management
CETX,Cemtrex Inc.,50274923,16576712,-13020958,Electronic Equipment/Instruments
REGN,"Regeneron Pharmaceuticals, Inc.",12172900000,10271100000,4338400000,Pharmaceuticals: Major
CYT,"Cyteir Therapeutics, Inc.",0,-1375000,-46061000,Biotechnology
ENPH,"Enphase Energy, Inc.",2330853000,958802000,397362000,Semiconductors
SBT,"Sterling Bancorp, Inc.",101859000,,-14194000,Regional Banks
ANET,"Arista Networks, Inc.",4381310000,2675696000,1352446000,Computer Peripherals
DRMA,"Dermata Therapeutics, Inc.",0,0,-9610913,Pharmaceuticals: Major
MARK,"Remark Holdings, Inc.",11666000,169000,-55483000,Packaged Software
FFBW,"FFBW, Inc.",13508000,,2342000,Savings Banks
POOL,Pool Corporation,6179727000,1933412000,744311000,Wholesale Distributors
CNMD,CONMED Corporation,1030387000,528015999.99999994,-80582000,Medical Specialties
SNX,TD SYNNEX Corporation,62343810000,3562677000,646963000,Electronics Distributors
LKQ,LKQ Corporation,12794000000,4986000000,1149000000,Automotive Aftermarket
ELYM,"Eliem Therapeutics, Inc",0,0,-45244000,Biotechnology
HOOK,HOOKIPA Pharma Inc.,14249000,10647000,-64915000.00000001,Biotechnology
MDWT,Midwest Holding Inc.,25233000,,7140000,Life/Health Insurance
NOW,"ServiceNow, Inc.",7245000000,5672000000,325000000,Packaged Software
GENC,"Gencor Industries, Inc.",103479000,20544000,-372000,Trucks/Construction/Farm Machinery
CE,Celanese Corporation,9673000000,2277000000,1894000000,Chemicals: Specialty
MAIN,Main Street Capital Corporation,384613000,384613000,241606000,Investment Managers
TCPC,BlackRock TCP Capital Corp.,162771508,115651520,-9225332,Financial Conglomerates
BGXX,Bright Green Corporation,0,-704681,-27662077,Pharmaceuticals: Other
COTY,Coty Inc.,5554100000,3357100000,508200000,Household/Personal Care
ACI,"Albertsons Companies, Inc.",77649700000,20106400000,1513500000,Food Retail
ADMT,"ADM Tronics Unlimited, Inc.",3676785,1657902,-96322,Medical Specialties
MTX,Minerals Technologies Inc.,2125500000,452300000,122200000,Chemicals: Specialty
SLRC,SLR Investment Corp.,141020000,92067000,18342000,Investment Managers
TSQ,"Townsquare Media, Inc.",463077000,119102000,12337000,Broadcasting
RPMT,"Rego Payment Architectures, Inc.",2073,-35919,-16344053,Packaged Software
IFF,"International Flavors & Fragrances, Inc.",12440000000,3424000000,-1868000000,Food: Specialty/Candy
LYTS,LSI Industries Inc.,496979000,136976000,25762000,Building Products
MMS,"Maximus, Inc.",4904728000,934017000,161792000,Miscellaneous Commercial Services
JNPR,"Juniper Networks, Inc.",5301200000,2988400000,471000000,Information Technology Services
NAOV,"NanoVibronix, Inc.",752000,167000,-5448000,Medical Specialties
FTDR,"Frontdoor, Inc.",1662000000,676000000,71000000,Homebuilding
PRO,"PROS Holdings, Inc.",276137000,166057000,-82246000,Information Technology Services
FLME,Flame Acquisition Corp.,0,0,-2590948,Financial Conglomerates
STX,Seagate Technology Holdings PLC,7384000000,1332000000,-529000000,Computer Peripherals
BMY,Bristol-Myers Squibb Company,46159000000,26490000000,6327000000,Pharmaceuticals: Major
QLYS,"Qualys, Inc.",487826000,384868000,107992000,Packaged Software
CVLY,"Codorus Valley Bancorp, Inc",99569000,,20092000,Regional Banks
CF,"CF Industries Holdings, Inc.",11186000000,5810000000,3346000000,Chemicals: Agricultural
ORHB,"ORHUB, Inc.",324869,222900,-13385957,Packaged Software
MRMD,MariMed Inc.,134009999.99999999,49553000,13468000,Agricultural Commodities/Milling
AORT,"Artivion, Inc.",313789000,187213000,-19094000,Medical Specialties
PKE,Park Aerospace Corp.,54055000,16473000,10731000,Aerospace & Defense
VERX,"Vertex, Inc.",491624000,282273000,-12304000,Packaged Software
CYTK,"Cytokinetics, Incorporated",94588000,86189000,-388955000,Pharmaceuticals: Major
HCWB,HCW Biologics Inc.,6722090,1996770,-14900703,Biotechnology
OCSL,Oaktree Specialty Lending Corporation,346131000,269674000,117331000,Investment Managers
CMG,"Chipotle Mexican Grill, Inc.",8634652000,1775293000,899101000,Restaurants
USFD,US Foods Holding Corp.,34057000000,5492000000,265000000,Food Distributors
ACNB,ACNB Corporation,108856000,,35752000,Regional Banks
RL,Ralph Lauren Corporation,6443600000,3936900000,522700000.00000006,Apparel/Footwear
LEGH,Legacy Housing Corporation,257015000,106332000,67773000,Homebuilding
RWAY,Runway Growth Finance Corp.,107491000,81768000,32250000,Finance/Rental/Leasing
MKSI,"MKS Instruments, Inc.",3547000000,1383000000,333000000,Industrial Machinery
RMSL,"RemSleep Holdings, Inc.",320719,72293,-1486574,Medical Specialties
EXC,Exelon Corporation,19078000000,4741000000,2170000000,Electric Utilities
TFSL,TFS Financial Corporation,633016000,,73681000,Savings Banks
FOLD,"Amicus Therapeutics, Inc.",329233000,285292000,-236568000,Pharmaceuticals: Major
AIP,"Arteris, Inc.",50378000,44498000,-27387000,Semiconductors
EVI,"EVI Industries, Inc.",354173000,97659000,8526000,Wholesale Distributors
RBC,RBC Bearings Incorporated,1469300000,535700000.00000006,166700000,Metal Fabrication
RJF,"Raymond James Financial, Inc.",13013000000,11453000000,1734000000,Investment Managers
CXI,CURRENCY EXCHANGE INTL CORP,62643046.60404624,59549805.09114437,11136125.35838249,Regional Banks
MDVL,"MedAvail Holdings, Inc.",43109000,-974000,-47616000,Medical Specialties
FLUX,"Flux Power Holdings, Inc.",66337000,15689000,-6741000,Electrical Products
UTI,Universal Technical Institute Inc,607408000,275679000,9610000,Miscellaneous Commercial Services
DMRC,Digimarc Corporation,30197000,13684000,-59798000,Information Technology Services
ELTP,"Elite Pharmaceuticals, Inc.",34155114,15330569,3561846,Pharmaceuticals: Generic
GXO,"GXO Logistics, Inc.",8993000000,1221000000,197000000,Air Freight/Couriers
BFIN,BankFinancial Corporation,61272000,,10494000,Regional Banks
TWOU,"2U, Inc.",963080000,685397000,-322151000,Packaged Software
BATL,Battalion Oil Corporation,357401000,186591000,18539000,Oil & Gas Production
EYE,"National Vision Holdings, Inc.",2005404000,979861000,42122000,Specialty Stores
PFG,Principal Financial Group Inc,17491600000,,4811600000,Investment Managers
SCS,Steelcase Inc.,3232600000,919300000,34000000,Office Equipment/Supplies
SOUB,Southpoint Bancshares Inc.,61347000,,12628742,Regional Banks
AC,"Associated Capital Group, Inc.",-41285000,,-48907000,Investment Managers
PETQ,"PetIQ, Inc.",921513000,209663000,-48208000,Pharmaceuticals: Major
